Model	estimate	parameter	sigma
CAout11F	q75	Nhat	743
CAout11F	q97.5	Nhat	980
CAout11F	gd.point	Nhat	1.109004619
CAout11F	gd.upperCI	Nhat	1.337543283
CAout13F	mean	Nhat	521.44959
CAout13F	sd	Nhat	273.1448271
CAout13F	naïve.se	Nhat	0.498691944
CAout13F	ts.se	Nhat	17.25906628
CAout13F	q2.5	Nhat	67
CAout13F	q25	Nhat	291
CAout13F	q50	Nhat	506
CAout13F	q75	Nhat	760
CAout13F	q97.5	Nhat	980
CAout13F	gd.point	Nhat	1.105385422
CAout13F	gd.upperCI	Nhat	1.320694318
CAout21F	mean	Nhat	539.32372
CAout21F	sd	Nhat	276.7360237
CAout21F	naïve.se	Nhat	0.505248542
CAout21F	ts.se	Nhat	16.94135459
CAout21F	q2.5	Nhat	55
CAout21F	q25	Nhat	313
CAout21F	q50	Nhat	544
CAout21F	q75	Nhat	778
CAout21F	q97.5	Nhat	981
CAout21F	gd.point	Nhat	1.066712017
CAout21F	gd.upperCI	Nhat	1.210396036
LYout11F	mean	Nhat	512.7117133
LYout11F	sd	Nhat	269.7582993
LYout11F	naïve.se	Nhat	0.492509019
LYout11F	ts.se	Nhat	25.83409928
LYout11F	q2.5	Nhat	54
LYout11F	q25	Nhat	283
LYout11F	q50	Nhat	516
LYout11F	q75	Nhat	735
LYout11F	q97.5	Nhat	971
LYout11F	gd.point	Nhat	1.024657389
LYout11F	gd.upperCI	Nhat	1.071177424
LYout13F	mean	Nhat	485.97715
LYout13F	sd	Nhat	293.4025983
LYout13F	naïve.se	Nhat	0.535677405
LYout13F	ts.se	Nhat	19.05773289
LYout13F	q2.5	Nhat	28
LYout13F	q25	Nhat	214
LYout13F	q50	Nhat	486
LYout13F	q75	Nhat	744
LYout13F	q97.5	Nhat	972
LYout13F	gd.point	Nhat	1.808416829
LYout13F	gd.upperCI	Nhat	3.121756434
LYout21F	mean	Nhat	401.0023967
LYout21F	sd	Nhat	295.2102503
LYout21F	naïve.se	Nhat	0.538977711
LYout21F	ts.se	Nhat	35.43348004
LYout21F	q2.5	Nhat	23
LYout21F	q25	Nhat	108
LYout21F	q50	Nhat	379
LYout21F	q75	Nhat	642
LYout21F	q97.5	Nhat	957
LYout21F	gd.point	Nhat	1.130913892
LYout21F	gd.upperCI	Nhat	1.382590244
MOout23F	mean	Nhat	476.2351733
MOout23F	sd	Nhat	278.6362152
MOout23F	naïve.se	Nhat	0.508717801
MOout23F	ts.se	Nhat	19.31213875
MOout23F	q2.5	Nhat	54
MOout23F	q25	Nhat	230
MOout23F	q50	Nhat	456
MOout23F	q75	Nhat	715
MOout23F	q97.5	Nhat	965
MOout23F	gd.point	Nhat	1.201220047
MOout23F	gd.upperCI	Nhat	1.567657748
WOout11F	mean	Nhat	339.5091133
WOout11F	sd	Nhat	312.9446076
WOout11F	naïve.se	Nhat	0.571356069
WOout11F	ts.se	Nhat	37.80670839
WOout11F	q2.5	Nhat	3
WOout11F	q25	Nhat	52
WOout11F	q50	Nhat	235
WOout11F	q75	Nhat	607
WOout11F	q97.5	Nhat	960
WOout11F	gd.point	Nhat	1.573793564
WOout11F	gd.upperCI	Nhat	2.517702922
WOout21F	mean	Nhat	467.31709
WOout21F	sd	Nhat	287.0050354
WOout21F	naïve.se	Nhat	0.523997107
WOout21F	ts.se	Nhat	24.37928426
WOout21F	q2.5	Nhat	37
WOout21F	q25	Nhat	211
WOout21F	q50	Nhat	453
WOout21F	q75	Nhat	709
WOout21F	q97.5	Nhat	973
WOout21F	gd.point	Nhat	1.140457575
WOout21F	gd.upperCI	Nhat	1.420230386
WOout23F	mean	Nhat	442.2402633
WOout23F	sd	Nhat	292.5865127
WOout23F	naïve.se	Nhat	0.534187444
WOout23F	ts.se	Nhat	27.56028774
WOout23F	q2.5	Nhat	20
WOout23F	q25	Nhat	178
WOout23F	q50	Nhat	427
WOout23F	q75	Nhat	684
WOout23F	q97.5	Nhat	970
WOout23F	gd.point	Nhat	1.078107703
WOout23F	gd.upperCI	Nhat	1.246636831
BBout11F	mean	Nhat	335.8042733
BBout11F	sd	Nhat	274.6828277
BBout11F	naïve.se	Nhat	0.501499936
BBout11F	ts.se	Nhat	36.56924143
BBout11F	q2.5	Nhat	30
BBout11F	q25	Nhat	95
BBout11F	q50	Nhat	242
BBout11F	q75	Nhat	541
BBout11F	q97.5	Nhat	930
BBout11F	gd.point	Nhat	1.067838113
BBout11F	gd.upperCI	Nhat	1.21869328
