Model,species,estimate,parameter,value
BBout13F,black bear,sd,psi,0.271161798
BBout13F,black bear,naïve.se,psi,0.000495071
BBout13F,black bear,ts.se,psi,0.027149685
BBout13F,black bear,q2.5,psi,0.000465771
BBout13F,black bear,q25,psi,0.002792473
BBout13F,black bear,q50,psi,0.02953067
BBout13F,black bear,q75,psi,0.276378314
BBout13F,black bear,q97.5,psi,0.916017749
BBout13F,black bear,gd.point,psi,1.705431588
BBout13F,black bear,gd.upperCI,psi,3.378411152
BBout21F,black bear,mean,psi,0.165855275
BBout21F,black bear,sd,psi,0.227670574
BBout21F,black bear,naïve.se,psi,0.000415668
BBout21F,black bear,ts.se,psi,0.030477864
BBout21F,black bear,q2.5,psi,0.002344402
BBout21F,black bear,q25,psi,0.01321895
BBout21F,black bear,q50,psi,0.060778363
BBout21F,black bear,q75,psi,0.229030773
BBout21F,black bear,q97.5,psi,0.844712856
BBout21F,black bear,gd.point,psi,1.19138273
BBout21F,black bear,gd.upperCI,psi,1.54534481
BBout22F,black bear,mean,psi,0.53487972
BBout22F,black bear,sd,psi,0.186407279
BBout22F,black bear,naïve.se,psi,0.000340332
BBout22F,black bear,ts.se,psi,0.02324017
BBout22F,black bear,q2.5,psi,0.292368733
BBout22F,black bear,q25,psi,0.391236015
BBout22F,black bear,q50,psi,0.483916157
BBout22F,black bear,q75,psi,0.640768537
BBout22F,black bear,q97.5,psi,0.970912854
BBout22F,black bear,gd.point,psi,1.833581747
BBout22F,black bear,gd.upperCI,psi,4.014669351
BBout23F,black bear,mean,psi,0.336738655
BBout23F,black bear,sd,psi,0.29179366
BBout23F,black bear,naïve.se,psi,0.00053274
BBout23F,black bear,ts.se,psi,0.022924372
BBout23F,black bear,q2.5,psi,0.003372964
BBout23F,black bear,q25,psi,0.075311232
BBout23F,black bear,q50,psi,0.257072389
BBout23F,black bear,q75,psi,0.552636847
BBout23F,black bear,q97.5,psi,0.950870137
BBout23F,black bear,gd.point,psi,1.275696862
BBout23F,black bear,gd.upperCI,psi,1.766300725
CAout11F,caribou,mean,Nhat,487.0942733
CAout11F,caribou,sd,Nhat,296.5486796
CAout11F,caribou,naïve.se,Nhat,0.541421337
CAout11F,caribou,ts.se,Nhat,20.09581942
CAout11F,caribou,q2.5,Nhat,27
CAout11F,caribou,q25,Nhat,226
CAout11F,caribou,q50,Nhat,488
CAout11F,caribou,q75,Nhat,743
CAout11F,caribou,q97.5,Nhat,980
CAout11F,caribou,gd.point,Nhat,1.109004619
CAout11F,caribou,gd.upperCI,Nhat,1.337543283
CAout13F,caribou,mean,Nhat,521.44959
CAout13F,caribou,sd,Nhat,273.1448271
CAout13F,caribou,naïve.se,Nhat,0.498691944
CAout13F,caribou,ts.se,Nhat,17.25906628
CAout13F,caribou,q2.5,Nhat,67
CAout13F,caribou,q25,Nhat,291
CAout13F,caribou,q50,Nhat,506
CAout13F,caribou,q75,Nhat,760
CAout13F,caribou,q97.5,Nhat,980
CAout13F,caribou,gd.point,Nhat,1.105385422
CAout13F,caribou,gd.upperCI,Nhat,1.320694318
CAout21F,caribou,mean,Nhat,539.32372
CAout21F,caribou,sd,Nhat,276.7360237
CAout21F,caribou,naïve.se,Nhat,0.505248542
CAout21F,caribou,ts.se,Nhat,16.94135459
CAout21F,caribou,q2.5,Nhat,55
CAout21F,caribou,q25,Nhat,313
CAout21F,caribou,q50,Nhat,544
CAout21F,caribou,q75,Nhat,778
CAout21F,caribou,q97.5,Nhat,981
CAout21F,caribou,gd.point,Nhat,1.066712017
CAout21F,caribou,gd.upperCI,Nhat,1.210396036
LYout11F,lynx,mean,Nhat,512.7117133
LYout11F,lynx,sd,Nhat,269.7582993
LYout11F,lynx,naïve.se,Nhat,0.492509019
LYout11F,lynx,ts.se,Nhat,25.83409928
LYout11F,lynx,q2.5,Nhat,54
LYout11F,lynx,q25,Nhat,283
LYout11F,lynx,q50,Nhat,516
LYout11F,lynx,q75,Nhat,735
LYout11F,lynx,q97.5,Nhat,971
LYout11F,lynx,gd.point,Nhat,1.024657389
LYout11F,lynx,gd.upperCI,Nhat,1.071177424
LYout13F,lynx,mean,Nhat,485.97715
LYout13F,lynx,sd,Nhat,293.4025983
LYout13F,lynx,naïve.se,Nhat,0.535677405
LYout13F,lynx,ts.se,Nhat,19.05773289
LYout13F,lynx,q2.5,Nhat,28
